Proxy,Type,Latency (s),10MB Download Time (s),Speed (MB/sec),Score
156.244.11.6:2000,http,2.483,2.541,3.935,1.585
23.237.210.82:80,http,1.233,3.143,3.182,2.58
8.221.141.88:8081,http,4.492,3.835,2.607,0.58
90.162.35.34:80,http,1.211,5.264,1.9,1.568
89.31.143.12:80,http,0.608,0.702,14.236,23.398
8.213.215.187:18080,http,3.954,3.974,2.516,0.636
124.108.6.20:8085,http,2.7,13.598,0.735,0.272
8.220.204.92:9091,http,2.67,2.523,3.964,1.485
164.163.42.22:10000,http,1.83,6.696,1.494,0.816
8.220.205.172:45,http,3.911,3.947,2.533,0.648
47.252.11.233:5060,http,2.287,2.343,4.268,1.867
164.163.42.29:10000,http,1.047,5.637,1.774,1.694
8.219.229.53:20,http,2.597,2.799,3.573,1.376
8.213.197.208:8000,http,12.58,6.903,1.449,0.115
47.251.74.38:5060,http,2.353,2.487,4.022,1.709
8.215.12.103:8080,http,4.589,4.111,2.433,0.53
